Ruas Jalan Tol,Gerbang Masuk,Gerbang Keluar,Golongan Kendaraan,Tarif Tol
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Natar,Golongan V,"147,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Natar,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Tegineneng Timur,Golongan I,"83,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Tegineneng Timur,Golongan II,"125,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Tegineneng Timur,Golongan III,"125,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Tegineneng Timur,Golongan IV,"166,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Tegineneng Timur,Golongan V,"166,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Tegineneng Timur,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Tegineneng Barat,Golongan I,"83,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Tegineneng Barat,Golongan II,"125,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Tegineneng Barat,Golongan III,"125,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Tegineneng Barat,Golongan IV,"166,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Tegineneng Barat,Golongan V,"166,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Tegineneng Barat,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Gunung Sugih,Golongan I,"101,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Gunung Sugih,Golongan II,"151,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Gunung Sugih,Golongan III,"151,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Gunung Sugih,Golongan IV,"202,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Gunung Sugih,Golongan V,"202,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Gunung Sugih,Golongan VI,TARIF TIDAK DITEMUKAN
